epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,192.632,0.64773,1.23209,0.59099,1.13075,0.86431,0.84569,0.89645,0.57833,0.82963,0.71429,0.71932,0.50736,1.20257,3.10068,0.96958,1.6057,0.00151682,0.00151682,0.00151682
93,194.663,0.69755,1.33362,0.65077,1.1686,0.96827,0.85714,0.91889,0.58624,0.83837,0.71429,0.69246,0.49174,1.13331,2.97756,0.96861,1.5948,0.00151517,0.00151517,0.00151517
94,196.664,0.71528,1.1877,0.6226,1.16439,0.78432,0.92857,0.911,0.57177,0.70662,0.78571,0.74533,0.50318,1.08702,3.30842,0.99751,1.52644,0.00151352,0.00151352,0.00151352
95,198.589,0.81792,1.23468,0.78499,1.25484,0.78853,0.91854,0.91583,0.60329,0.58588,0.85714,0.6759,0.50594,1.0586,2.57675,0.92741,1.55472,0.00151187,0.00151187,0.00151187
96,200.547,0.74923,1.05736,0.60176,1.171,0.66341,0.92857,0.82378,0.58855,0.53118,0.71429,0.63863,0.50852,1.09363,3.45158,1.07624,1.6857,0.00151022,0.00151022,0.00151022
97,202.58,0.74166,1.18333,0.6573,1.13808,0.635,0.92857,0.82078,0.54241,0.62558,0.78571,0.71532,0.48592,1.14846,3.10918,1.22236,1.75552,0.00150857,0.00150857,0.00150857
98,204.548,0.81718,1.18428,0.70917,1.25323,0.71374,0.85714,0.80438,0.60762,0.57461,0.71429,0.68706,0.51793,0.91679,2.10743,1.02496,1.55337,0.00150692,0.00150692,0.00150692
99,206.497,0.80658,1.3691,0.69227,1.23317,0.70038,0.92001,0.85808,0.66329,0.75926,0.78571,0.81856,0.59994,0.90917,2.08058,1.0527,1.52661,0.00150527,0.00150527,0.00150527
100,208.809,0.7737,1.16384,0.64994,1.19207,0.82928,0.71429,0.83516,0.64167,0.82928,0.71429,0.76242,0.53893,0.97,3.75419,0.88208,1.54846,0.00150362,0.00150362,0.00150362
101,210.776,0.80619,1.38178,0.71295,1.25653,0.71761,0.78571,0.74403,0.57381,0.59087,0.78571,0.68499,0.4479,1.16371,4.69891,1.07564,1.66497,0.00150197,0.00150197,0.00150197
102,212.842,0.7539,1.70204,0.73199,1.17141,0.65557,0.71429,0.67296,0.50415,0.65557,0.71429,0.65995,0.4167,1.29345,4.60551,1.22084,1.78166,0.00150032,0.00150032,0.00150032
103,214.876,0.78318,1.67233,0.75538,1.18676,0.92171,0.85301,0.88261,0.53666,0.79856,0.69644,0.71942,0.49184,1.17561,3.31619,1.07117,1.70638,0.00149867,0.00149867,0.00149867
104,216.829,0.67071,1.22037,0.65655,1.10347,0.91846,0.78086,0.82462,0.55507,0.87537,0.71429,0.69732,0.53979,1.33761,3.06026,0.85929,1.91026,0.00149702,0.00149702,0.00149702
105,218.743,0.70008,1.24539,0.63767,1.14375,0.69222,0.78571,0.71267,0.54407,0.60444,0.71429,0.60367,0.4804,1.23044,3.59071,0.91631,1.73016,0.00149537,0.00149537,0.00149537
106,220.744,0.82636,1.63881,0.80505,1.2975,0.61876,0.78571,0.74266,0.54589,0.6193,0.71429,0.60549,0.48159,1.0506,2.9181,1.09537,1.53658,0.00149372,0.00149372,0.00149372
107,222.679,0.70347,1.43806,0.62339,1.14191,0.85166,0.71024,0.83094,0.53124,0.88732,0.5,0.51752,0.44551,1.35153,2.22747,1.35417,1.87038,0.00149207,0.00149207,0.00149207
108,224.716,0.79278,1.36145,0.67833,1.20671,0.77604,0.64286,0.73366,0.47011,0.88794,0.49513,0.49538,0.43573,1.48174,2.31146,1.47515,1.90816,0.00149041,0.00149041,0.00149041
109,226.679,0.74155,1.13333,0.66558,1.14756,0.62467,0.85714,0.86893,0.48051,0.88678,0.48914,0.51112,0.42577,1.30012,2.47805,1.81344,1.9276,0.00148876,0.00148876,0.00148876
110,228.599,0.73073,1.16843,0.65129,1.16506,0.71038,0.79685,0.80036,0.49723,0.56763,0.64286,0.67766,0.47278,1.18598,2.03462,1.69554,1.87783,0.00148711,0.00148711,0.00148711
111,230.596,0.68707,1.10436,0.61754,1.13272,0.75266,0.78571,0.80806,0.564,0.53567,0.91279,0.73417,0.50489,0.99361,1.84509,1.27293,1.65859,0.00148546,0.00148546,0.00148546
112,232.561,0.68402,1.09408,0.59877,1.1423,0.62116,0.85714,0.76667,0.53168,0.47286,0.78571,0.61858,0.47621,0.97144,2.27681,1.53,1.57773,0.00148381,0.00148381,0.00148381
113,234.55,0.7571,1.26971,0.64318,1.16957,0.75745,0.92857,0.93688,0.5723,0.44696,0.85714,0.68268,0.48637,0.96469,2.60075,1.21081,1.5348,0.00148216,0.00148216,0.00148216
114,236.496,0.66046,1.29263,0.60901,1.12397,0.80348,0.85714,0.90602,0.65056,0.63942,0.71429,0.6501,0.50167,0.85673,2.06595,0.91257,1.29107,0.00148051,0.00148051,0.00148051
115,238.445,0.60067,1.03982,0.59412,1.08646,0.84322,0.91943,0.94269,0.67216,0.76994,0.85219,0.81212,0.59046,0.82222,2.16142,0.82099,1.26703,0.00147886,0.00147886,0.00147886
116,240.829,0.60103,1.02815,0.54893,1.07514,0.75135,0.92857,0.93455,0.65325,0.69273,0.85714,0.78671,0.58599,0.83859,2.00045,0.73793,1.32997,0.00147721,0.00147721,0.00147721
117,242.784,0.67524,1.11832,0.62147,1.1557,0.81612,0.92857,0.896,0.65286,0.74858,0.85714,0.74942,0.52508,0.89771,2.89556,0.75909,1.39836,0.00147556,0.00147556,0.00147556
118,244.761,0.63101,1.06767,0.56946,1.10336,0.81662,0.85714,0.8985,0.65147,0.80702,0.85714,0.77484,0.54677,0.9966,2.98838,0.84582,1.51036,0.00147391,0.00147391,0.00147391
119,246.723,0.61342,0.96832,0.50895,1.12727,0.94139,0.85714,0.93038,0.62381,0.71125,0.73391,0.73434,0.52954,1.04194,2.41576,0.94331,1.80634,0.00147226,0.00147226,0.00147226
120,248.626,0.63132,0.97952,0.54859,1.11581,0.97061,0.85714,0.93229,0.60405,0.82362,0.79256,0.81905,0.54795,0.99948,2.3234,0.94034,1.82192,0.00147061,0.00147061,0.00147061
