epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
210,499.621,0.16297,0.62385,1,1.60608,0.0079309,0.0079309,0.0079309
211,501.801,0.15884,0.54128,1,2.11719,0.007921,0.007921,0.007921
212,503.962,0.17078,0.54128,1,2.10327,0.0079111,0.0079111,0.0079111
213,506.141,0.19913,0.57798,1,2.06616,0.0079012,0.0079012,0.0079012
214,508.298,0.13066,0.59633,1,2.36816,0.0078913,0.0078913,0.0078913
215,510.675,0.17281,0.56881,1,1.9519,0.0078814,0.0078814,0.0078814
216,513.078,0.14798,0.6055,1,2.271,0.0078715,0.0078715,0.0078715
217,515.441,0.174,0.57798,1,2.48584,0.0078616,0.0078616,0.0078616
218,517.741,0.16361,0.59633,1,2.40308,0.0078517,0.0078517,0.0078517
219,519.983,0.23399,0.56881,1,1.84717,0.0078418,0.0078418,0.0078418
220,522.205,0.17394,0.59633,1,1.55664,0.0078319,0.0078319,0.0078319
221,524.451,0.16214,0.56881,1,1.63062,0.007822,0.007822,0.007822
222,526.589,0.16295,0.59633,1,2.11084,0.0078121,0.0078121,0.0078121
223,528.778,0.11363,0.63303,1,1.92822,0.0078022,0.0078022,0.0078022
224,530.981,0.12725,0.58716,1,2.16357,0.0077923,0.0077923,0.0077923
225,533.159,0.16852,0.55046,1,2.42188,0.0077824,0.0077824,0.0077824
226,535.313,0.11616,0.53211,1,2.35425,0.0077725,0.0077725,0.0077725
227,537.517,0.19133,0.55046,1,2.22241,0.0077626,0.0077626,0.0077626
228,539.702,0.13642,0.55046,1,2.06738,0.0077527,0.0077527,0.0077527
229,541.866,0.18591,0.51376,1,1.99536,0.0077428,0.0077428,0.0077428
230,544.023,0.14396,0.57798,1,2.26807,0.0077329,0.0077329,0.0077329
231,546.154,0.15222,0.55963,1,2.41968,0.007723,0.007723,0.007723
232,548.326,0.13509,0.59633,1,2.37769,0.0077131,0.0077131,0.0077131
233,550.486,0.1456,0.53211,1,2.47681,0.0077032,0.0077032,0.0077032
234,552.697,0.16126,0.58716,1,2.45679,0.0076933,0.0076933,0.0076933
235,554.923,0.15149,0.59633,1,2.04065,0.0076834,0.0076834,0.0076834
236,557.1,0.12251,0.58716,1,2.08716,0.0076735,0.0076735,0.0076735
237,559.229,0.16092,0.56881,1,2.07043,0.0076636,0.0076636,0.0076636
238,561.438,0.1291,0.56881,1,2.30859,0.0076537,0.0076537,0.0076537
239,563.604,0.15561,0.53211,1,2.18457,0.0076438,0.0076438,0.0076438
240,565.819,0.16156,0.58716,1,2.16333,0.0076339,0.0076339,0.0076339
241,567.999,0.13247,0.54128,1,2.09375,0.007624,0.007624,0.007624
242,570.39,0.13757,0.58716,1,2.25464,0.0076141,0.0076141,0.0076141
243,572.698,0.16638,0.6055,1,2.22925,0.0076042,0.0076042,0.0076042
